78:21:84:93:59:44,1000
24:d7:eb:38:e7:74,1000
78:21:84:93:5a:a0,1000
78:21:84:93:57:3c,1000
78:21:84:93:57:54,1000
24:d7:eb:38:cd:00,1000
24:d7:eb:38:e6:d0,1000
24:d7:eb:38:e9:40,1000
24:d7:eb:38:ef:28,1000
24:d7:eb:38:d8:64,1000
24:d7:eb:38:cc:f0,1000
24:d7:eb:38:cc:60,1000
24:d7:eb:38:f6:48,1000
24:d7:eb:38:e3:7c,1000
24:d7:eb:38:c8:d8,1000
24:d7:eb:38:fa:00,1000
24:d7:eb:38:d6:c4,1000
78:21:84:93:57:80,1000
78:21:84:93:5c:f4,1000
24:d7:eb:38:f1:a0,1000
78:21:84:93:51:18,1000
78:21:84:93:54:c0,1000
78:21:84:93:58:50,1000
78:21:84:93:56:d4,1000
78:21:84:93:4b:fc,1000
78:21:84:93:57:f0,1000
78:21:84:93:5a:c8,1000
78:21:84:93:55:f8,1000
78:21:84:93:58:e0,1000
78:21:84:93:5a:a8,1000
78:21:84:93:5a:50,1000
78:21:84:93:5b:54,1000
24:d7:eb:38:e0:dc,1000
78:21:84:93:4d:68,1000
78:21:84:93:5e:e4,1000
78:21:84:93:58:30,1000
24:d7:eb:38:de:1c,1000
24:d7:eb:38:e1:04,1000
78:21:84:93:5a:84,1000
78:21:84:93:4f:9c,1000
24:d7:eb:38:cd:5c,1000
24:d7:eb:38:e3:1c,1000
24:d7:eb:38:da:68,1000
78:21:84:93:5c:f0,1000
24:d7:eb:38:cf:ec,1000
24:d7:eb:38:cc:e4,1000
24:d7:eb:38:ef:24,1000
78:21:84:93:5c:f8,1000
78:21:84:93:50:f0,1000
78:21:84:93:54:c4,1000
78:21:84:93:5a:64,1000
78:21:84:93:5c:ac,1000
78:21:84:93:54:b4,1000
78:21:84:93:54:a0,1000
78:21:84:93:4f:04,1000
78:21:84:93:56:10,1000
78:21:84:93:51:4c,1000
24:d7:eb:38:f3:6c,1000
78:21:84:93:56:c0,1000
78:21:84:93:52:d4,1000
78:21:84:93:50:20,1000
78:21:84:93:51:5c,1000
78:21:84:93:4d:cc,1000
30:c6:f7:25:cd:d8,1000
78:21:84:93:5e:b4,1000
78:21:84:93:4f:e4,1000
78:21:84:93:47:d8,1000
78:21:84:93:4f:ec,1000
78:21:84:93:56:50,1000
78:21:84:93:5a:b0,1000
78:21:84:93:50:cc,1000
78:21:84:93:5d:80,1000
78:21:84:93:58:28,1000
78:21:84:93:52:e0,1000
78:21:84:93:50:f4,1000
78:21:84:93:52:60,1000
78:21:84:93:50:04,1000
78:21:84:93:5a:08,1000
78:21:84:93:52:b0,1000
24:d7:eb:38:e1:08,1000
24:d7:eb:38:e8:54,1000
78:21:84:93:57:30,1000
78:21:84:93:5a:94,1000
78:21:84:93:55:fc,1000
78:21:84:93:57:e0,1000
24:d7:eb:38:e6:cc,1000
24:d7:eb:38:e0:a4,1000
24:d7:eb:38:fe:ac,1000
24:d7:eb:38:ec:e4,1000
78:21:84:93:54:54,1000
24:d7:eb:38:d0:cc,1000
78:21:84:93:51:d8,1000
78:21:84:93:5e:ec,1000
78:21:84:93:45:4c,1000
78:21:84:93:5c:e8,1000
78:21:84:93:5c:b8,1000
78:21:84:93:4f:a0,1000
78:21:84:93:5e:d8,1000
24:d7:eb:38:e2:dc,1000
78:21:84:93:56:00,1000
78:21:84:93:5c:a4,1000
24:d7:eb:38:ec:a8,1000
24:d7:eb:38:de:dc,1000
24:d7:eb:38:c7:fc,1000
78:21:84:93:4f:1c,1000
24:d7:eb:38:c7:e8,1000
24:d7:eb:38:d0:b0,1000
24:d7:eb:38:fb:84,1000
78:21:84:93:56:c8,1000
78:21:84:93:58:70,1000
78:21:84:93:51:38,1000
78:21:84:93:4d:c0,1000
78:21:84:93:4f:e0,1000
78:21:84:93:4f:94,1000
78:21:84:93:51:2c,1000
78:21:84:93:4f:bc,1000
78:21:84:93:55:08,1000
78:21:84:93:4f:ac,1000
78:21:84:93:51:10,1000
78:21:84:93:5b:0c,1000
78:21:84:93:5b:8c,0
78:21:84:93:4e:44,1000
24:d7:eb:39:00:48,1000
24:d7:eb:38:e6:b8,1000
96:3B:56:38:E9:FC,0
80:B9:89:F0:2F:4A,0
bc:d0:74:22:92:ca,274
96:3b:56:38:e9:fc,864
80:b9:89:f0:2f:4a,0
